Symbol,Company Name,Regulation,Type of Submission,Broadcast Date/Time,Details URL,Scrip Code,NSE Symbol,MSEI Symbol,Name of Signatory,Designation of Signatory,Sr. No.,Type of Instrument,Category of Person,Name of Person,CIN/DIN,Securities Held Prior (No.),Securities Held Prior (%),Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Transaction Type,Securities Held Post (No.),Securities Held Post (%),Date From,Date To,Mode of Acquisition/Disposal,Date of Intimation,Exchange,Notes
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED,Regulation 7 (2),Original,28-Aug-2026 11:24:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25074_20260828_112400421_WEB.html,544528,GANESHCP,NOTLISTED,Narendra Mishra,Company Secretary and Compliance Officer,1,Equity,Promoter and Director,Manish Mimani,00824942,2691757,6.66%,30200,"4,991,046.00",Buy,2721957,6.74%,25-08-2026,25-08-2026,Market Purchase,27-08-2026,,
SWARAJ,SWARAJ SUITING LIMITED,Regulation 7 (2),Original,27-Aug-2026 23:10:16,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20487_20260827_231015931_WEB.html,544861,SWARAJ,NOTLISTED,RAHUL KUMAR VERMA,Company Secretary and Compliance Officer,1,Equity,Promoter Group,GOMOTO TEXTILES PRIVATE LIMITED,U17120RJ2009PTC055669,1403400,5.31%,60177,"22,501,834.00",Sell,1343223,5.08%,25-08-2026,26-08-2026,Market Sale,27-08-2026,,
KARURVYSYA,KARUR VYSYA BANK LIMITED,Regulation 7 (2),Original,27-Aug-2026 19:50:48,https://nsearchives.nseindia.com/corporate/ixbrl/IT_539_20260827_195048801_WEB.html,590003,KARURVYSYA,NOTLISTED,Srinivasarao M,Company Secretary and Compliance Officer,1,Equity,Promoter,G Rajasekaran,,1995479,0.21%,9103,"3,210,116.00",Sell,1986376,0.21%,26-08-2026,26-08-2026,Market Sale,27-08-2026,,
KARURVYSYA,KARUR VYSYA BANK LIMITED,Regulation 7 (2),Original,27-Aug-2026 19:50:48,https://nsearchives.nseindia.com/corporate/ixbrl/IT_539_20260827_195048801_WEB.html,590003,KARURVYSYA,NOTLISTED,Srinivasarao M,Company Secretary and Compliance Officer,2,Equity,Promoter Group,R Nageswari,,1428011,0.15%,9103,"3,210,116.00",Sell,1418908,0.15%,26-08-2026,26-08-2026,Market Sale,27-08-2026,,
KARURVYSYA,KARUR VYSYA BANK LIMITED,Regulation 7 (2),Original,27-Aug-2026 19:50:48,https://nsearchives.nseindia.com/corporate/ixbrl/IT_539_20260827_195048801_WEB.html,590003,KARURVYSYA,NOTLISTED,Srinivasarao M,Company Secretary and Compliance Officer,3,Equity,Promoter Group,G Mani,,1289652,0.13%,9103,"3,210,116.00",Sell,1280549,0.13%,26-08-2026,26-08-2026,Market Sale,27-08-2026,,
TTL,T T LIMITED,Regulation 7 (2),Original,27-Aug-2026 18:36:36,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2534_20260827_183636348_WEB.html,514142,TTL,NOTLISTED,VIMAL JAIN,Director,1,Equity,Promoter Group,T. T. BRANDS LIMITED,,89412200,34.61%,166620,"1,097,839.00",Buy,89578820,34.67%,26-08-2026,27-08-2026,Market Purchase,27-08-2026,,
TATACONSUM,Tata Consumer Products Limited,Regulation 7 (2),Original,27-Aug-2026 17:52:36,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1098_20260827_175236528_WEB.html,500800,TATACONSUM,NOTLISTED,Delnaz Dara Harda,Company Secretary and Compliance Officer,1,Equity,Designated Person,Mahesh Israni,,3906,0.00%,1500,"1,901,505.00",Sell,2406,0.00%,11-05-2026,11-05-2026,Market Sale,26-08-2026,,
NILASPACES,NILA SPACES LIMITED,Regulation 7 (2),Original,27-Aug-2026 17:05:39,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17088_20260827_170539360_WEB.html,542231,NILASPACES,NOTLISTED,GOPI DAVE,Company Secretary and Compliance Officer,1,Equity,Promoter,Kiran B Vadodaria,,28680065,7.28%,1000000,"12,580,000.00",Sell,27680065,7.03%,25-08-2026,27-08-2026,Market Sale,27-08-2026,,
KPITTECH,KPIT TECHNOLOGIES LIMITED,Regulation 7 (2),Original,27-Aug-2026 16:35:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17417_20260827_163550693_WEB.html,542651,KPITTECH,NOTLISTED,Ashish Malhotra,Company Secretary and Compliance Officer,1,Equity,Other,KPIT Technologies Limited Employees Welfare Trust,,1653624,0.60%,2750,"1,638,434.00",Sell,1650874,0.60%,18-08-2026,18-08-2026,ESOP,26-08-2026,,
KPITTECH,KPIT TECHNOLOGIES LIMITED,Regulation 7 (2),Original,27-Aug-2026 16:35:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17417_20260827_163550693_WEB.html,542651,KPITTECH,NOTLISTED,Ashish Malhotra,Company Secretary and Compliance Officer,2,Equity,Other,KPIT Technologies Limited Employees Welfare Trust,,1650874,0.60%,2964,"1,721,887.00",Sell,1647910,0.60%,24-08-2026,24-08-2026,ESOP,26-08-2026,,
KPITTECH,KPIT TECHNOLOGIES LIMITED,Regulation 7 (2),Original,27-Aug-2026 16:35:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17417_20260827_163550693_WEB.html,542651,KPITTECH,NOTLISTED,Ashish Malhotra,Company Secretary and Compliance Officer,3,Equity,Other,KPIT Technologies Limited Employees Welfare Trust,,1647910,0.60%,1367,"795,855.00",Sell,1646543,0.60%,25-08-2026,25-08-2026,ESOP,26-08-2026,,
RAJMET,Rajnandini Metal Limited,Regulation 7 (2),Original,27-Aug-2026 15:57:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_16759_20260827_155745971_WEB.html,000000,RAJMET,NOTLISTED,Manoj Kumar Jangir,Director,1,Equity,Promoter,Het Ram,,87379477,31.60%,1325000,"4,783,250.00",Sell,86054477,31.12%,24-08-2026,24-08-2026,Market Sale,25-08-2026,,
MGEL,MANGALAM GLOBAL ENTERPRISE LIMITED,Regulation 7 (2),Original,27-Aug-2026 15:09:29,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17639_20260827_150929746_WEB.html,544273,MGEL,NA,KARANSINGH I KARKI,Company Secretary and Compliance Officer,1,Equity,Directors Immediate Relative,Pritu Gupta,,465713,0.14%,50000,"726,500.00",Buy,515713,0.15%,24-08-2026,24-08-2026,Market Purchase,26-08-2026,,
CSLFINANCE,CSL Finance Limited,Regulation 7 (2),Original,27-Aug-2026 14:53:28,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20784_20260827_145328549_WEB.html,530067,CSLFINANCE,NOTLISTED,Ashok Kumar Kathuria,Director,1,Equity,Promoter,Rohit Gupta HUF,,360136,1.58%,2058,"466,014.00",Buy,362194,1.59%,24-08-2026,24-08-2026,Market Purchase,25-08-2026,,
CSLFINANCE,CSL Finance Limited,Regulation 7 (2),Original,27-Aug-2026 14:53:28,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20784_20260827_145328549_WEB.html,530067,CSLFINANCE,NOTLISTED,Ashok Kumar Kathuria,Director,2,Equity,Promoter,Rohit Gupta HUF,,362194,1.58%,10000,"2,300,000.00",Buy,372194,1.63%,24-08-2026,24-08-2026,Market Purchase,25-08-2026,,
CSLFINANCE,CSL Finance Limited,Regulation 7 (2),Original,27-Aug-2026 14:53:28,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20784_20260827_145328549_WEB.html,530067,CSLFINANCE,NOTLISTED,Ashok Kumar Kathuria,Director,3,Equity,Promoter,Rohit Gupta HUF,,372194,1.63%,5915,"1,354,476.00",Buy,378109,1.66%,25-08-2026,25-08-2026,Market Purchase,25-08-2026,,
CSLFINANCE,CSL Finance Limited,Regulation 7 (2),Original,27-Aug-2026 14:53:28,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20784_20260827_145328549_WEB.html,530067,CSLFINANCE,NOTLISTED,Ashok Kumar Kathuria,Director,4,Equity,Promoter,Rohit Gupta HUF,,378109,1.65%,20000,"4,600,000.00",Buy,398109,1.75%,26-08-2026,26-08-2026,Market Purchase,26-08-2026,,
CSLFINANCE,CSL Finance Limited,Regulation 7 (2),Original,27-Aug-2026 14:53:28,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20784_20260827_145328549_WEB.html,530067,CSLFINANCE,NOTLISTED,Ashok Kumar Kathuria,Director,5,Equity,Promoter,Rohit Gupta HUF,,398109,1.74%,10000,"2,300,000.00",Buy,408109,1.79%,26-08-2026,26-08-2026,Market Purchase,26-08-2026,,
PRECWIRE,PRECISION WIRES INDIA LIMITED,Regulation 7 (2),Original,27-Aug-2026 13:19:18,https://nsearchives.nseindia.com/corporate/ixbrl/IT_910_20260827_131918491_WEB.html,523539,PRECWIRE,NOTLISTED,DEEPIKA PANDEY,Company Secretary and Compliance Officer,1,Equity,Director,"Niraj 
Bhukhanwala",00113468,32445,0.02%,7500,"3,249,277.00",Sell,24945,0.01%,26-08-2026,26-08-2026,Market Sale,27-08-2026,,
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,Regulation 7 (2),Original,27-Aug-2026 11:19:19,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260827_111919080_WEB.html,511589,AVONMORE,NOTLISTED,SONAL,Company Secretary and Compliance Officer,1,Equity,Promoter,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,U74899DL1994PTC057217,94495078,33.48%,89000,"1,240,525.00",Buy,94584078,33.51%,26-08-2026,26-08-2026,Market Purchase,27-08-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,26-Aug-2026 19:41:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260826_194100413_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,Company Secretary and Compliance Officer,1,Equity,Director,Prashant Prahaladray Thakar,03179115,4159563,1.98%,160971,"373,034.00",Sell,3998592,1.90%,24-08-2026,24-08-2026,Market Sale,25-08-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,26-Aug-2026 19:41:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260826_194100413_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,Company Secretary and Compliance Officer,2,Equity,Director,Prashant Prahaladray Thakar,03179115,3998592,1.90%,44775,"108,427.00",Sell,3953817,1.88%,21-08-2026,21-08-2026,Market Sale,25-08-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,26-Aug-2026 19:41:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260826_194100413_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,Company Secretary and Compliance Officer,3,Equity,Director,Prashant Prahaladray Thakar,03179115,3953817,1.88%,155228,"377,747.00",Sell,3798589,1.81%,20-08-2026,20-08-2026,Market Sale,25-08-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,26-Aug-2026 19:41:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260826_194100413_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,Company Secretary and Compliance Officer,4,Equity,Director,Prashant Prahaladray Thakar,03179115,3798589,1.81%,68936,"170,451.00",Sell,3729653,1.78%,19-08-2026,20-08-2026,Market Sale,25-08-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,26-Aug-2026 19:41:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260826_194100413_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,Company Secretary and Compliance Officer,5,Equity,Director,Prashant Prahaladray Thakar,03179115,3729653,1.78%,112565,"271,619.00",Sell,3617088,1.72%,18-08-2026,20-08-2026,Market Sale,25-08-2026,,
CENTUM,CENTUM ELECTRONICS LIMITED,Regulation 7 (2),Original,26-Aug-2026 18:49:53,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2659_20260826_184953370_WEB.html,517544,CENTUM,NOTLISTED,INDU H S,Company Secretary and Compliance Officer,1,Equity,Designated Person,Bhoopendra Kumar Singh,,4183,0.03%,1702,"5,791,000.00",Sell,2481,0.02%,20-08-2026,20-08-2026,Market Sale,24-08-2026,,
CENTUM,CENTUM ELECTRONICS LIMITED,Regulation 7 (2),Original,26-Aug-2026 18:49:53,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2659_20260826_184953370_WEB.html,517544,CENTUM,NOTLISTED,INDU H S,Company Secretary and Compliance Officer,2,Equity,Designated Person,Bhoopendra Kumar Singh,,2481,0.02%,520,"1,821,000.00",Sell,1961,0.01%,21-08-2026,21-08-2026,Market Sale,25-08-2026,,
CENTUM,CENTUM ELECTRONICS LIMITED,Regulation 7 (2),Original,26-Aug-2026 18:49:53,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2659_20260826_184953370_WEB.html,517544,CENTUM,NOTLISTED,INDU H S,Company Secretary and Compliance Officer,3,Equity,Designated Person,R Rama Prasad,,2,0.00%,1000,"3,795,750.00",Buy,1002,0.01%,26-08-2026,26-08-2026,ESOP,26-08-2026,,
CENTUM,CENTUM ELECTRONICS LIMITED,Regulation 7 (2),Original,26-Aug-2026 18:49:53,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2659_20260826_184953370_WEB.html,517544,CENTUM,NOTLISTED,INDU H S,Company Secretary and Compliance Officer,4,Equity,Designated Person,Arun Mahadev Sonar,,0,0.00%,2000,"7,591,500.00",Buy,2000,0.01%,26-08-2026,26-08-2026,ESOP,26-08-2026,,
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,Regulation 7 (2),Original,26-Aug-2026 18:37:10,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2275_20260826_183710294_WEB.html,531508,EVEREADY,NOTLISTED,SHAMPA GHOSH RAY,Company Secretary and Compliance Officer,1,Equity,Promoter,VIVAYA ENTERPRISES PRIVATE LIMITED,U52100WB2021PTC245629,494558,0.68%,44558,"15,617,579.00",Pledge,494558,0.68%,24-08-2026,24-08-2026,Pledge Creation,26-08-2026,,
BCONCEPTS,BRAND CONCEPTS LIMITED,Regulation 7 (2),Original,26-Aug-2026 17:23:52,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15702_20260826_172352293_WEB.html,543442,BCONCEPTS,NOTLISTED,Swati Gupta,Company Secretary and Compliance Officer,1,Equity,Director,Govind Shridhar Shrikhande,00029419,11803,0.09%,4024,"642,486.00",Buy,15827,0.12%,25-08-2026,25-08-2026,Market Purchase,26-08-2026,,
SILVERTUC,SILVER TOUCH TECHNOLOGIES LIMITED,Regulation 7 (2),Original,26-Aug-2026 16:32:12,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15598_20260826_163212172_WEB.html,543525,SILVERTUC,NOTLISTED,Rahul Girdharilal Advani,Company Secretary and Compliance Officer,1,Equity,Promoter and Director,Vipul Haridas Thakkar,00169558,26829760,21.16%,14000,"2,533,675.00",Buy,26843760,21.17%,25-08-2026,25-08-2026,Market Purchase,26-08-2026,,
BHAGERIA,Bhageria Industries Limited,Regulation 7 (2),Original,26-Aug-2026 15:35:44,https://nsearchives.nseindia.com/corporate/ixbrl/IT_13498_20260826_153544422_WEB.html,530803,BHAGERIA,NOTLISTED,Deepa Toshniwal,Company Secretary and Compliance Officer,1,Equity,Promoter Group,Aditya Bhageria,,185761,0.42%,10000,"2,228,700.00",Buy,195761,0.45%,26-08-2026,26-08-2026,Market Purchase,26-08-2026,,
GFLLIMITED,GFL LIMITED,Regulation 7 (2),Original,26-Aug-2026 13:44:40,https://nsearchives.nseindia.com/corporate/ixbrl/IT_198_20260826_134440827_WEB.html,500173,GFLLIMITED,NA,Lakhan Laxmi Rajam Shamala,Company Secretary and Compliance Officer,1,Equity,Promoter and Director,Siddharth Jain,00030202,14807953,13.48%,32955000,0.00,Buy,47762953,43.48%,24-08-2026,24-08-2026,Gift,25-08-2026,,
GFLLIMITED,GFL LIMITED,Regulation 7 (2),Original,26-Aug-2026 13:44:40,https://nsearchives.nseindia.com/corporate/ixbrl/IT_198_20260826_134440827_WEB.html,500173,GFLLIMITED,NA,Lakhan Laxmi Rajam Shamala,Company Secretary and Compliance Officer,2,Equity,Promoter and Director,Pavan Kumar Jain,00030098,46308012,42.16%,32955000,0.00,Sell,13353012,12.16%,24-08-2026,24-08-2026,Gift,25-08-2026,,
GNA,GNA AXLES LIMITED,Regulation 7 (2),Original,26-Aug-2026 13:06:04,https://nsearchives.nseindia.com/corporate/ixbrl/IT_14236_20260826_130604337_WEB.html,540124,GNA,NOTLISTED,GOURAV JAIN,Company Secretary and Compliance Officer,1,Equity,Promoter Group,MANINDER SINGH SEEHRA,,2029750,4.73%,447644,"254,116,904.00",Sell,1582106,3.69%,18-08-2026,24-08-2026,Market Sale,26-08-2026,,
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,Regulation 7 (2),Original,26-Aug-2026 10:35:22,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260826_103522339_WEB.html,511589,AVONMORE,NOTLISTED,SONAL,Company Secretary and Compliance Officer,1,Equity,Promoter,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,U74899DL1994PTC057217,94460078,33.47%,35000,"470,500.00",Buy,94495078,33.48%,25-08-2026,25-08-2026,Market Purchase,26-08-2026,,
NAUKRI,Info Edge (India) Limited,Regulation 7 (2),Original,25-Aug-2026 19:49:08,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2460_20260825_194907990_WEB.html,532777,NAUKRI,NOTLISTED,Jaya Bhatia,Company Secretary and Compliance Officer,1,Equity,Designated Person,Amit Verma,,300,0.00%,300,"403,989.00",Sell,0,0.00%,24-08-2026,24-08-2026,Market Sale,24-08-2026,,
NAUKRI,Info Edge (India) Limited,Regulation 7 (2),Original,25-Aug-2026 19:49:08,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2460_20260825_194907990_WEB.html,532777,NAUKRI,NOTLISTED,Jaya Bhatia,Company Secretary and Compliance Officer,2,Equity,Immediate Relative,Poonam Raghuvanshi,,500,0.00%,500,"682,500.00",Sell,0,0.00%,20-08-2026,20-08-2026,Market Sale,24-08-2026,,
NAUKRI,Info Edge (India) Limited,Regulation 7 (2),Original,25-Aug-2026 19:49:08,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2460_20260825_194907990_WEB.html,532777,NAUKRI,NOTLISTED,Jaya Bhatia,Company Secretary and Compliance Officer,3,Equity,Designated Person,Pallavi Belagavi,,21665,0.00%,7400,"10,008,860.00",Sell,14265,0.00%,21-08-2026,21-08-2026,Market Sale,25-08-2026,,
LANDMARK,Landmark Cars Limited,Regulation 7 (2),Revision,25-Aug-2026 19:04:14,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20392_20260825_190414559_WEB.html,543714,LANDMARK,NOTLISTED,Amol Arvind Raje,Company Secretary and Compliance Officer,1,Equity,Designated Person,Harshal Manojkumar Desai,08958940,43750,0.11%,6217,"3,162,569.00",Sell,37533,0.09%,19-08-2026,19-08-2026,Market Sale,19-08-2026,,
JUBLINGREA,JUBILANT INGREVIA LIMITED,Regulation 7 (2),Original,25-Aug-2026 18:27:20,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19288_20260825_182720355_WEB.html,543271,JUBLINGREA,NOTLISTED,Deepanjali Gulati,Company Secretary and Compliance Officer,1,Equity,Trust,Jubilant Ingrevia Employees Welfare Trust,,1542244,0.97%,2627,"1,860,573.00",Sell,1539617,0.97%,21-08-2026,21-08-2026,ESOP,24-08-2026,,
IONEXCHANG,ION EXCHANGE (INDIA) LIMITED,Regulation 7 (2),Original,25-Aug-2026 17:43:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_185_20260825_174326419_WEB.html,500214,IONEXCHANG,NOTLISTED,NIKISHA SOLANKI,Company Secretary and Compliance Officer,1,Equity,Promoter Group,Dinesh Sharma,,5712710,3.90%,230000,0.00,Sell,5482710,3.73%,19-08-2026,19-08-2026,Gift,21-08-2026,,
IONEXCHANG,ION EXCHANGE (INDIA) LIMITED,Regulation 7 (2),Original,25-Aug-2026 17:43:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_185_20260825_174326419_WEB.html,500214,IONEXCHANG,NOTLISTED,NIKISHA SOLANKI,Company Secretary and Compliance Officer,2,Equity,Promoter Group,Dhruv Dinesh Trigunayat,,150000,0.10%,230000,0.00,Buy,380000,0.25%,19-08-2026,19-08-2026,Gift,21-08-2026,,
BHAGERIA,Bhageria Industries Limited,Regulation 7 (2),Original,25-Aug-2026 16:55:12,https://nsearchives.nseindia.com/corporate/ixbrl/IT_13498_20260825_165512735_WEB.html,530803,BHAGERIA,NOTLISTED,Deepa Toshniwal,Company Secretary and Compliance Officer,1,Equity,Promoter Group,Aditya Bhageria,,174109,0.40%,11652,"2,601,998.00",Buy,185761,0.42%,25-08-2026,25-08-2026,Market Purchase,25-08-2026,,
BHARATGEAR,Bharat Gears Limited,Regulation 7 (2),Original,25-Aug-2026 16:12:45,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1253_20260825_161245656_WEB.html,505688,BHARATGEAR,NOTLISTED,Prashant Khattry,Company Secretary and Compliance Officer,1,Equity,Promoter Immediate Relative,Viney  Uppal,,0,0.00%,33215,"3,512,886.00",Buy,33215,0.22%,06-08-2026,13-08-2026,Market Purchase,24-08-2026,,
