Symbol,Company Name,Regulation,Type of Submission,Broadcast Date/Time,Details URL,Scrip Code,NSE Symbol,MSEI Symbol,Name of Signatory,Designation of Signatory,Sr. No.,Type of Instrument,Category of Person,Name of Person,CIN/DIN,Securities Held Prior (No.),Securities Held Prior (%),Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Transaction Type,Securities Held Post (No.),Securities Held Post (%),Date From,Date To,Mode of Acquisition/Disposal,Date of Intimation,Exchange,Notes
STLTECH,Sterlite Technologies Limited,Regulation 7 (2),Original,11-Sep-2026 18:37:06,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1950_20260911_183706465_WEB.html,532374,STLTECH,NOTLISTED,Mrunal Asawadekar,,1,Equity,Promoter Group,Navin Agarwal,,131945,0.02%,2500,"2,144,210.00",Sell,129445,0.02%,11-09-2026,11-09-2026,Market Sale,11-09-2026,,
CCAVENUE,AvenuesAI Limited,Regulation 7 (2),Original,11-Sep-2026 18:23:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_13663_20260911_182350466_WEB.html,539807,CCAVENUE,NOTLISTED,Shyamal Trivedi,,1,Equity,Designated Person,Rahul Hirve,,1997135,0.05%,247135,"3,837,072.00",Sell,1750000,0.05%,10-09-2026,11-09-2026,Market Sale,11-09-2026,,
ELECTHERM,ELECTROTHERM (INDIA) LIMITED,Regulation 7 (2),Original,11-Sep-2026 17:19:05,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1496_20260911_171905608_WEB.html,526608,ELECTHERM,NOTLISTED,Fageshkumar R. Soni,,1,Equity,Promoter Group,Suraj Shailesh Bhandari,07296523,81100,0.64%,80000,0.00,Buy,161100,1.26%,10-09-2026,10-09-2026,Gift,10-09-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,11-Sep-2026 16:49:57,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260911_164957789_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,,1,Equity,Director,Prashant Prahaladray Thakar,03179115,3059762,1.46%,17818,"43,157.00",Sell,3041944,1.45%,10-09-2026,10-09-2026,Market Sale,10-09-2026,,
DIVISLAB,Divi's Laboratories Limited,Regulation 7 (2),Original,11-Sep-2026 15:55:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2132_20260911_155546501_WEB.html,532488,DIVISLAB,NOTLISTED,M. Satish Choudhury,,1,Equity,Immediate Relative,K. Sridevi,,2700,0.00%,200,"1,898,500.00",Sell,2500,0.00%,08-09-2026,08-09-2026,Market Sale,09-09-2026,,
SINCLAIR,SINCLAIRS HOTELS LIMITED,Regulation 7 (2),Original,11-Sep-2026 13:48:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22933_20260911_134846621_WEB.html,523023,SINCLAIR,NOTLISTED,DIPAK KUMAR SHAW,,1,Equity,Promoter,NAVIN CHAND SUCHANTI,00273663,3770145,7.35%,6659,"554,715.00",Buy,3776804,7.36%,09-09-2026,09-09-2026,Market Purchase,11-09-2026,,
SIGIND,Signet Industries Limited,Regulation 7 (2),Original,11-Sep-2026 12:10:10,https://nsearchives.nseindia.com/corporate/ixbrl/IT_16593_20260911_121010537_WEB.html,512131,SIGIND,NOTLISTED,Preeti Singh,,1,Equity,Promoter and Director,Mukesh Sangla,00189676,1385628,4.71%,5478,"382,198.00",Buy,1391106,4.73%,09-09-2026,09-09-2026,Market Purchase,10-09-2026,,
SGIL,SYNERGY GREEN INDUSTRIES LIMITED,Regulation 7 (2),Original,11-Sep-2026 11:12:04,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19808_20260911_111204765_WEB.html,541929,SGIL,NA,NILESH MANKAR,,1,Equity,Promoter Group,PRABHAKAR SHIRGAOKAR ENTERPRISES LLP,,13037,0.08%,1600,"966,192.00",Buy,14637,0.09%,07-09-2026,07-09-2026,Market Purchase,09-09-2026,,
SIGIND,Signet Industries Limited,Regulation 7 (2),Original,10-Sep-2026 20:31:30,https://nsearchives.nseindia.com/corporate/ixbrl/IT_16593_20260910_203129967_WEB.html,512131,SIGIND,NOTLISTED,Preeti Singh,,1,Equity,Promoter and Director,Mukesh Sangla,00189676,1364787,4.64%,20841,"1,448,160.00",Buy,1385628,4.71%,08-09-2026,08-09-2026,Market Purchase,09-09-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,10-Sep-2026 19:34:48,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260910_193448800_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,,1,Equity,Director,Prashant Prahaladray Thakar,03179115,3162027,1.51%,102265,"247,491.00",Sell,3059762,1.46%,09-09-2026,09-09-2026,Market Sale,09-09-2026,,
BELLACASA,BELLA CASA FASHION & RETAIL LIMITED,Regulation 7 (2),Original,10-Sep-2026 18:13:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26028_20260910_181355333_WEB.html,539399,BELLACASA,NOTLISTED,Goving Saboo,,1,Equity,Director,Govind Saboo,06724172,8446,0.06%,8000,"1,861,500.00",Buy,16446,0.12%,17-08-2026,27-08-2026,Market Purchase,10-09-2026,,
FOCUS,Focus Lighting And Fixtures Limited,Regulation 7 (2),Original,10-Sep-2026 17:16:38,https://nsearchives.nseindia.com/corporate/ixbrl/IT_14891_20260910_171638030_WEB.html,000000,FOCUS,NOTLISTED,Mohini Sharma,,1,Equity,Promoter,Amit Vinod Sheth,01468052,34508469,51.16%,32500,"2,102,500.00",Buy,34540969,51.21%,01-09-2026,04-09-2026,Market Purchase,08-09-2026,,
FOCUS,Focus Lighting And Fixtures Limited,Regulation 7 (2),Original,10-Sep-2026 17:16:38,https://nsearchives.nseindia.com/corporate/ixbrl/IT_14891_20260910_171638030_WEB.html,000000,FOCUS,NOTLISTED,Mohini Sharma,,2,Equity,Promoter,Amit Vinod Sheth,01468052,34540969,51.21%,5000,"317,500.00",Buy,34545969,51.22%,04-09-2026,07-09-2026,Market Purchase,08-09-2026,,
VISAKAIND,Visaka Industries Limited,Regulation 7 (2),Original,10-Sep-2026 16:49:59,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1388_20260910_164959354_WEB.html,509055,VISAKAIND,NOTLISTED,Ramakanth Kunapuli,,1,Equity,Promoter Group,VIGILANCE SECURITY SERVICES PRIVATE LIMITED,U45100TG1989PTC010383,4306254,4.98%,15000,"1,383,962.00",Buy,4321254,5.00%,09-09-2026,09-09-2026,Market Purchase,10-09-2026,,
SAKAR,SAKAR HEALTHCARE LIMITED,Regulation 7 (2),Original,10-Sep-2026 16:26:05,https://nsearchives.nseindia.com/corporate/ixbrl/IT_14283_20260910_162605061_WEB.html,000000,SAKAR,NOTLISTED,BHARAT SONI,,1,Equity,Promoter,Aarsh S. Shah,05294294,1286475,5.78%,35000,"34,632,150.00",Sell,1251475,5.62%,02-09-2026,02-09-2026,Market Sale,03-09-2026,,
WSI,W S Industries (I) Limited,Regulation 7 (2),Original,10-Sep-2026 16:05:13,https://nsearchives.nseindia.com/corporate/ixbrl/IT_587_20260910_160513264_WEB.html,504220,WSI,NOTLISTED,V Balamurugan,,1,Equity,Promoter,S. Aravindan,,4701491,6.19%,15000,"898,219.00",Buy,4716491,6.21%,08-09-2026,09-09-2026,Market Purchase,10-09-2026,,
CENTUM,CENTUM ELECTRONICS LIMITED,Regulation 7 (2),Original,10-Sep-2026 14:25:23,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2659_20260910_142523036_WEB.html,517544,CENTUM,NOTLISTED,INDU H S,,1,Equity,Designated Person,Vinod Srinivasrao Chippalkatti,,14309,0.10%,309,"1,342,605.00",Sell,14000,0.10%,09-09-2026,09-09-2026,Market Sale,10-09-2026,,
SANGAMIND,SANGAM (INDIA) LIMITED,Regulation 7 (2),Original,10-Sep-2026 11:46:59,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1381_20260910_114659800_WEB.html,514234,SANGAMIND,NOTLISTED,ARJUN AGAL,,1,Equity,Trust,Sangam (India) Limited Employees Welfare Trust,,937187,1.87%,200,"53,340.00",Sell,936987,1.86%,04-09-2026,04-09-2026,ESOP,08-09-2026,,
SANGAMIND,SANGAM (INDIA) LIMITED,Regulation 7 (2),Original,10-Sep-2026 11:46:59,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1381_20260910_114659800_WEB.html,514234,SANGAMIND,NOTLISTED,ARJUN AGAL,,2,Equity,Trust,Sangam (India) Limited Employees Welfare Trust,,936987,1.86%,2896,"1,651,158.00",Buy,939883,1.87%,08-09-2026,08-09-2026,Market Purchase,10-09-2026,,
SANGAMIND,SANGAM (INDIA) LIMITED,Regulation 7 (2),Original,10-Sep-2026 11:46:59,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1381_20260910_114659800_WEB.html,514234,SANGAMIND,NOTLISTED,ARJUN AGAL,,3,Equity,Trust,Sangam (India) Limited Employees Welfare Trust,,939883,1.87%,2300,"653,241.00",Sell,937583,1.87%,09-09-2026,09-09-2026,ESOP,10-09-2026,,
SHIVATEX,SHIVA TEXYARN LIMITED,Regulation 7 (2),Original,10-Sep-2026 11:16:54,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15657_20260910_111654798_WEB.html,511108,SHIVATEX,NOTLISTED,R SRINIVASAN,,1,Equity,Promoter,S K SUNDARARAMAN,,50760,0.39%,150000,"23,929,545.00",Buy,200760,1.55%,09-09-2026,09-09-2026,Inter-se-Transfer,09-09-2026,,
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,Regulation 7 (2),Original,09-Sep-2026 23:32:58,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19313_20260909_233258125_WEB.html,543281,SUVIDHAA,NOTLISTED,BHUMI MISTRY,,1,Equity,Director,Prashant Prahaladray Thakar,03179115,3463916,1.65%,165059,"325,397.00",Sell,3298857,1.57%,03-09-2026,03-09-2026,Market Sale,03-09-2026,,
NIITMTS,NIIT Learning Systems Limited,Regulation 7 (2),Original,09-Sep-2026 21:35:21,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22067_20260909_213521589_WEB.html,543952,NIITMTS,NOTLISTED,Deepak Bansal,,1,Equity,Designated Person,Prakash Ramachandran,,36862,0.03%,6668,"341,268.00",Buy,43530,0.03%,12-08-2026,12-08-2026,ESOP,07-09-2026,,
NIITMTS,NIIT Learning Systems Limited,Regulation 7 (2),Original,09-Sep-2026 21:35:21,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22067_20260909_213521589_WEB.html,543952,NIITMTS,NOTLISTED,Deepak Bansal,,2,Equity,Designated Person,Prakash Ramachandran,,43530,0.03%,5709,"1,294,801.00",Sell,37821,0.03%,04-09-2026,04-09-2026,Market Sale,07-09-2026,,
ADVENTHTL,ADVENT HOTELS INTERNATIONAL LIMITED,Regulation 7 (2),Original,09-Sep-2026 19:08:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26727_20260909_190800396_WEB.html,544446,ADVENTHTL,NOTLISTED,CHIRAG SOJITRA,,1,Equity,Promoter Group,Shravan Kumar Bali,,100121,0.19%,100121,0.00,Sell,0,0.00%,04-09-2026,04-09-2026,Inter-se-Transfer,07-09-2026,,
ADVENTHTL,ADVENT HOTELS INTERNATIONAL LIMITED,Regulation 7 (2),Original,09-Sep-2026 19:08:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26727_20260909_190800396_WEB.html,544446,ADVENTHTL,NOTLISTED,CHIRAG SOJITRA,,2,Equity,Promoter Group,Shruti Ahuja,,22500,0.04%,100121,0.00,Buy,122621,0.23%,04-09-2026,04-09-2026,Inter-se-Transfer,07-09-2026,,
SUPERSPIN,SUPER SPINNING MILLS LIMITED,Regulation 7 (2),Original,09-Sep-2026 17:58:40,https://nsearchives.nseindia.com/corporate/ixbrl/IT_122_20260909_175840867_WEB.html,521180,SUPERSPIN,NOTLISTED,SABEETHA DEVARAJAN,,1,Equity,Promoter Group,SUPER SARA TEXTILES LIMITED,U17111TZ2005PLC012229,301276,0.55%,129316,"885,849.00",Buy,430592,0.78%,01-09-2026,07-09-2026,Market Purchase,08-09-2026,,
SUPERSPIN,SUPER SPINNING MILLS LIMITED,Regulation 7 (2),Original,09-Sep-2026 17:58:40,https://nsearchives.nseindia.com/corporate/ixbrl/IT_122_20260909_175840867_WEB.html,521180,SUPERSPIN,NOTLISTED,SABEETHA DEVARAJAN,,2,Equity,Promoter Group,SUPER SARA TEXTILES LIMITED,U17111TZ2005PLC012229,430592,0.78%,18260,"130,437.00",Buy,448852,0.82%,01-09-2026,07-09-2026,Market Purchase,08-09-2026,,
360ONE,360 ONE WAM LIMITED,Regulation 7 (2),Original,09-Sep-2026 17:50:03,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17593_20260909_175003580_WEB.html,542772,360ONE,NA,Rohit Bhase,,1,Equity,Designated Person,Mayur Patel,,76177,0.00%,6177,"7,023,311.00",Sell,70000,0.00%,07-09-2026,07-09-2026,Market Sale,08-09-2026,,
360ONE,360 ONE WAM LIMITED,Regulation 7 (2),Original,09-Sep-2026 17:50:03,https://nsearchives.nseindia.com/corporate/ixbrl/IT_17593_20260909_175003580_WEB.html,542772,360ONE,NA,Rohit Bhase,,2,Equity,Designated Person,ANSHUMAN MAHESHWARY,,255152,0.00%,10000,"11,374,700.00",Sell,245152,0.00%,07-09-2026,07-09-2026,Market Sale,08-09-2026,,
JASH,JASH ENGINEERING LIMITED,Regulation 7 (2),Original,09-Sep-2026 17:28:56,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15524_20260909_172856190_WEB.html,544402,JASH,NOTLISTED,TUSHAR KHARPADE,,1,Equity,Promoter Group,Rohan Patel,,68500,0.11%,10000,"5,032,251.00",Sell,58500,0.09%,07-09-2026,07-09-2026,Market Sale,08-09-2026,,
NAUKRI,Info Edge (India) Limited,Regulation 7 (2),Original,09-Sep-2026 16:53:38,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2460_20260909_165338563_WEB.html,532777,NAUKRI,NOTLISTED,Jaya Bhatia,,1,Equity,Trust,Info Edge Employees Stock Option Plan Trust,,422848,0.07%,3424,"6,848.00",Sell,419424,0.06%,07-09-2026,07-09-2026,ESOP,08-09-2026,,
NAUKRI,Info Edge (India) Limited,Regulation 7 (2),Original,09-Sep-2026 16:53:38,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2460_20260909_165338563_WEB.html,532777,NAUKRI,NOTLISTED,Jaya Bhatia,,2,Equity,Trust,Info Edge Employees Stock Option Plan Trust,,419424,0.06%,226,452.00,Sell,419198,0.06%,08-09-2026,08-09-2026,ESOP,09-09-2026,,
RISHABH,RISHABH INSTRUMENTS LIMITED,Regulation 7 (2),Original,09-Sep-2026 16:35:21,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21507_20260909_163521450_WEB.html,543977,RISHABH,NOTLISTED,Ajinkya Joglekar,,1,Equity,KMP,Mr. Dineshkumar Musalekar,L31100MH1982PLC028406,192886,0.50%,30001,"24,125,890.00",Sell,162885,0.42%,07-09-2026,08-09-2026,Market Sale,08-09-2026,,
RISHABH,RISHABH INSTRUMENTS LIMITED,Regulation 7 (2),Original,09-Sep-2026 16:35:21,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21507_20260909_163521450_WEB.html,543977,RISHABH,NOTLISTED,Ajinkya Joglekar,,2,Equity,Employee,Mr. Sandeep Keshav Wani,L31100MH1982PLC028406,10418,0.03%,2009,"1,607,200.00",Sell,8409,0.02%,07-09-2026,07-09-2026,Market Sale,08-09-2026,,
FSL,Firstsource Solutions Limited,Regulation 7 (2),Original,09-Sep-2026 16:27:54,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2535_20260909_162754332_WEB.html,532809,FSL,NOTLISTED,Pooja Nambiar,,1,Equity,Trust,Firstsource Employee Benefit Trust,,5204623,0.74%,2070,"536,751.00",Sell,5202553,0.74%,07-09-2026,07-09-2026,Market Sale,09-09-2026,,
FSL,Firstsource Solutions Limited,Regulation 7 (2),Original,09-Sep-2026 16:27:54,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2535_20260909_162754332_WEB.html,532809,FSL,NOTLISTED,Pooja Nambiar,,2,Equity,Trust,Firstsource Employee Benefit Trust,,5202553,0.74%,65898,"658,980.00",Sell,5136655,0.73%,09-09-2026,09-09-2026,Off Market,09-09-2026,,
TITAN,TITAN COMPANY LIMITED,Regulation 7 (3),Original,09-Sep-2026 14:51:21,https://nsearchives.nseindia.com/corporate/ixbrl/IT_233_20260909_145120915_WEB.html,500114,TITAN,NOTLISTED,Sharad Kumar Goyal,,1,Equity,Connected Person,Titan Employee Stock Option Trust,,407766,0.05%,26033,"130,151,333.00",Sell,381733,0.05%,07-09-2026,07-09-2026,Off Market,09-09-2026,,
NURECA,NURECA LIMITED,Regulation 7 (2),Original,09-Sep-2026 12:45:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260909_124550641_WEB.html,543264,NURECA,NOTLISTED,NISHU KANSAL,,1,Equity,Promoter Group,SMITA GOYAL,08929179,55294,0.58%,850,"272,400.00",Buy,56144,0.59%,08-09-2026,08-09-2026,Market Purchase,09-09-2026,,
NURECA,NURECA LIMITED,Regulation 7 (2),Original,09-Sep-2026 12:45:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260909_124550641_WEB.html,543264,NURECA,NOTLISTED,NISHU KANSAL,,2,Equity,Promoter Group,SMITA GOYAL,08929179,56144,0.59%,200,"64,400.00",Buy,56344,0.59%,08-09-2026,08-09-2026,Market Purchase,09-09-2026,,
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,Regulation 7 (2),Original,09-Sep-2026 10:44:34,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260909_104434364_WEB.html,511589,AVONMORE,NOTLISTED,SONAL,,1,Equity,Promoter,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,U74899DL1994PTC057217,94858122,33.61%,53351,"752,337.00",Buy,94911473,33.63%,08-09-2026,08-09-2026,Market Purchase,09-09-2026,,
KMSUGAR,K M Sugar Mills Limited,Regulation 7 (2),Original,08-Sep-2026 21:35:49,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2605_20260908_213549006_WEB.html,532673,KMSUGAR,NA,Ritika Tandon,,1,Equity,Promoter,Lakshmi Kant Dwarkadas HUF,,10065900,10.94%,1920000,"3,840,000.00",Sell,8145900,8.85%,04-09-2026,04-09-2026,Others,08-09-2026,,
KMSUGAR,K M Sugar Mills Limited,Regulation 7 (2),Original,08-Sep-2026 21:35:49,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2605_20260908_213549006_WEB.html,532673,KMSUGAR,NA,Ritika Tandon,,2,Equity,Promoter and Director,Naina Devi Jhunjhunwala,01837824,18483348,20.09%,1920000,"3,840,000.00",Buy,20403348,22.18%,04-09-2026,04-09-2026,Others,08-09-2026,,
SENCO,SENCO GOLD LIMITED,Regulation 7 (2),Original,08-Sep-2026 19:04:18,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20714_20260908_190418281_WEB.html,543936,SENCO,NOTLISTED,Mr. Mukund Chandak,,1,Equity,Designated Person,Subhasri Sengupta,,18250,0.01%,8800,"3,135,530.00",Sell,9450,0.00%,02-09-2026,04-09-2026,Market Sale,07-09-2026,,
TTL,T T LIMITED,Regulation 7 (2),Original,08-Sep-2026 18:13:20,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2534_20260908_181320336_WEB.html,514142,TTL,NOTLISTED,VIMAL JAIN,,1,Equity,Promoter Group,T. T. BRANDS LIMITED,,90025062,34.85%,210755,"1,429,557.00",Buy,90235817,34.93%,07-09-2026,08-09-2026,Market Purchase,08-09-2026,,
WSI,W S Industries (I) Limited,Regulation 7 (2),Original,08-Sep-2026 16:38:24,https://nsearchives.nseindia.com/corporate/ixbrl/IT_587_20260908_163824296_WEB.html,504220,WSI,NOTLISTED,V Balamurugan,,1,Equity,Promoter,S. Aravindan,,4692622,6.18%,8301,"494,214.00",Buy,4700923,6.19%,03-09-2026,03-09-2026,Market Purchase,08-09-2026,,
WSI,W S Industries (I) Limited,Regulation 7 (2),Original,08-Sep-2026 16:38:24,https://nsearchives.nseindia.com/corporate/ixbrl/IT_587_20260908_163824296_WEB.html,504220,WSI,NOTLISTED,V Balamurugan,,2,Equity,Promoter,S. Aravindan,,4700923,6.19%,568,"34,061.00",Buy,4701491,6.19%,03-09-2026,03-09-2026,Market Purchase,08-09-2026,,
MTARTECH,MTAR TECHNOLOGIES LIMITED,Regulation 7 (2),Original,08-Sep-2026 15:37:42,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19009_20260908_153742688_WEB.html,543270,MTARTECH,NOTLISTED,Priyanka Agarwal,,1,Equity,Promoter,K Shalini,,410483,1.33%,18000,0.00,Sell,392483,1.27%,04-09-2026,04-09-2026,Market Sale,07-09-2026,,
AAKASH,AAKASH EXPLORATION SERVICES LIMITED,Regulation 7 (2),Original,08-Sep-2026 13:51:10,https://nsearchives.nseindia.com/corporate/ixbrl/IT_16114_20260908_135110281_WEB.html,000000,AAKASH,NOTLISTED,Nisha Agrawal,,1,Equity,Promoter Group,Pravin Vershibhai Haria,,7277950,7.19%,7277950,7.00,Sell,0,0.00%,08-09-2026,08-09-2026,Inter-se-Transfer,08-09-2026,,
AAKASH,AAKASH EXPLORATION SERVICES LIMITED,Regulation 7 (2),Original,08-Sep-2026 13:51:10,https://nsearchives.nseindia.com/corporate/ixbrl/IT_16114_20260908_135110281_WEB.html,000000,AAKASH,NOTLISTED,Nisha Agrawal,,2,Equity,Promoter Group,Navinchandra Vershibhai Haria,,1500,0.00%,7277950,7.00,Buy,7279450,7.19%,08-09-2026,08-09-2026,Inter-se-Transfer,08-09-2026,,
CEATLTD,CEAT Limited,Regulation 7 (2),Original,08-Sep-2026 12:53:16,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2711_20260908_125316392_WEB.html,500878,CEATLTD,NOTLISTED,Gaurav Tongia,,1,Equity,Trust,ESOP Welfare Trust,,139229,0.03%,350,"1,170,112.00",Buy,139579,0.04%,03-09-2026,04-09-2026,Market Purchase,07-09-2026,,
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,Regulation 7 (2),Original,08-Sep-2026 10:43:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260908_104350402_WEB.html,511589,AVONMORE,NOTLISTED,SONAL,,1,Equity,Promoter,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,U74899DL1994PTC057217,94818782,33.60%,39340,"549,000.00",Buy,94858122,33.61%,07-09-2026,07-09-2026,Market Purchase,08-09-2026,,
