Symbol,CompanyName,ValuePurchased,TotalQty,NumBuyTxn,acqtoDt,AvgPrice,ValueCr,HasPledging,HasMarketSell,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,136490952.0,402202.0,7,16-06-2026,339.36,13.65,False,False,352.5,43.21,353.81,332.24,2.7,3.9,3.9,2568.0,16.2,9.0,61.0,78.0,5.08,17.3,0.33,True,15.0,0.532,20,25,20,0,65,Strong Buy Setup
AEROENTER,AEROFLEX ENTERPRISES LIMITED,113347300.0,1081000.0,6,17-06-2026,104.85,11.33,False,False,125.2,51.59,124.05,94.5,53.1,19.4,19.4,1422.0,14.2,152.0,-23.0,955.0,8.07,3.22,0.0,False,-831.0,0.797,20,15,30,-2,63,Buy on Breakout
PONNIERODE,PONNI SUGARS (ERODE) LIMITED,101498680.0,290000.0,1,17-08-2026,350.0,10.15,False,False,356.0,42.36,320.59,292.08,28.8,1.7,1.7,302.0,10.1,22.0,-1.78,175.0,-1.43,7.27,0.0,True,-1.94,3.361,17,21,25,-2,61,Buy on Breakout
PARADEEP,PARADEEP PHOSPHATES LIMITED,89737086.0,690546.0,9,19-06-2026,129.95,8.97,False,False,147.48,56.08,139.82,137.56,16.2,13.5,13.5,15226.0,14.0,28.0,720.0,14.0,3.78,17.1,1.02,False,12.0,0.059,15,14,30,0,59,Buy on Breakout
MANINFRA,MAN INFRACONSTRUCTION LIMITED,78892500.0,750000.0,3,25-06-2026,105.19,7.89,False,False,104.0,67.15,105.07,113.83,-16.2,-1.1,1.1,4210.0,27.4,-25.0,71.0,-11.0,1.48,10.7,0.0,True,69.0,0.187,20,14,0,0,34,Fundamental Watch
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED,75733991.0,371000.0,5,30-06-2026,204.13,7.57,False,False,164.67,64.08,184.08,205.91,-17.0,-19.3,19.3,661.0,14.6,-1.0,21.0,45.0,3.1,19.4,0.07,True,11.0,1.145,20,25,0,0,45,Watchlist
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED,73623440.0,641000.0,4,04-06-2026,114.86,7.36,False,False,119.6,69.74,127.67,369.15,-21.7,4.1,4.1,2337.0,20.1,18.0,46.0,-4.0,1.17,14.2,0.46,False,38.0,0.315,25,13,5,0,43,Watchlist
AURUM,Aurum PropTech Limited,70793299.0,375000.0,17,29-06-2026,188.78,7.08,False,False,228.1,50.34,218.52,186.55,29.4,20.8,20.8,1650.0,256.0,-48.0,-3.0,2250.0,6.59,1.28,0.01,False,-5760.0,0.429,20,10,30,-5,55,Buy on Breakout
NIITMTS,NIIT Learning Systems Limited,69880862.0,312588.0,6,09-06-2026,223.56,6.99,False,False,240.0,34.84,235.59,313.01,-38.0,7.4,7.4,3294.0,27.4,6.0,22.0,-8.0,2.06,18.2,0.03,True,16.0,0.212,15,18,15,0,48,Watchlist
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,60852442.0,269095.0,10,30-07-2026,226.14,6.09,False,False,228.0,42.78,227.1,243.51,-12.5,0.8,0.8,1435.0,17.0,6.0,44.0,1.0,5.33,5.09,0.0,True,9.0,0.424,20,14,10,0,44,Watchlist
HCLTECH,HCL Technologies Limited,52192113.0,47261.0,1,12-06-2026,1104.34,5.22,False,False,1325.0,60.82,1215.63,1406.5,-15.8,20.0,20.0,359561.0,19.8,7.0,4158.0,44.0,25.89,53.4,0.04,True,29.0,0.001,12,30,10,0,52,Buy on Breakout
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,52175756.0,10260.0,4,07-08-2026,5085.36,5.22,False,False,5329.0,67.16,5884.22,4134.2,44.1,4.8,4.8,16583.0,42.2,83.0,145.0,264.0,27.38,25.5,0.64,True,5.0,0.031,20,32,20,0,72,Strong Buy Setup
STEL,STEL HOLDINGS LIMITED,52123040.0,96105.0,34,25-06-2026,542.36,5.21,False,False,588.8,64.68,564.79,495.72,21.5,8.6,8.6,1098.0,55.9,21.0,-0.11,23.0,-0.07,1.58,0.0,False,-110.0,0.474,20,15,30,-2,63,Buy on Breakout
IBULLSLTD,Indiabulls Limited,42690564.0,2241914.0,2,19-05-2026,19.04,4.27,False,False,27.79,27.46,27.79,,159.1,46.0,46.0,6493.0,,110.0,19.45,87.0,0.04,-0.33,0.16,False,56.33,0.066,12,20,15,0,47,Watchlist
ALEMBICLTD,Alembic Limited,39869975.0,454376.0,1,17-08-2026,87.75,3.99,False,False,90.05,70.88,89.15,92.27,-9.9,2.6,2.6,2318.0,19.0,8.0,14.0,-14.0,0.57,16.9,0.01,True,30.0,0.172,17,13,10,0,40,Watchlist
GEMAROMA,Gem Aromatics Limited,34481167.0,228760.0,2,04-06-2026,150.73,3.45,False,False,173.0,55.06,183.81,174.62,-14.0,14.8,14.8,885.0,32.3,-22.0,8.51,-44.0,1.39,9.1,0.19,True,10.25,0.39,17,9,15,0,41,Watchlist
NINSYS,Nintec Systems Limited,31061184.0,40500.0,33,30-06-2026,766.94,3.11,False,False,741.0,47.23,796.0,516.25,112.6,-3.4,3.4,1350.0,45.9,17.0,10.62,17.0,4.44,52.7,0.02,True,41.45,0.23,15,25,15,0,55,Buy on Breakout
GREENPANEL,Greenpanel Industries Limited,30280183.0,164719.0,1,22-05-2026,183.83,3.03,False,False,169.05,53.12,191.63,215.11,-26.6,-8.0,8.0,2080.0,309.0,12.0,29.89,-69.0,0.1,-0.4,0.27,True,8.54,0.146,12,14,0,-3,23,Avoid
RGL,Renaissance Global Limited,30063761.0,297965.0,2,11-06-2026,100.9,3.01,False,False,121.75,69.56,115.75,115.5,-3.1,20.7,20.7,1304.0,45.5,7.0,22.0,0.0,0.95,5.28,0.52,True,5.0,0.231,17,11,25,0,53,Buy on Breakout
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,29730147.0,100000.0,1,12-06-2026,297.3,2.97,False,False,323.05,67.69,329.31,356.11,-15.0,8.7,8.7,1087.0,19.3,12.0,29.0,20.0,4.07,11.5,0.47,True,17.0,0.273,22,21,5,0,48,Watchlist
STANLEY,STANLEY LIFESTYLES LIMITED,29377870.0,202000.0,2,03-06-2026,145.44,2.94,False,False,136.1,56.81,150.68,176.12,-29.6,-6.4,6.4,778.0,81.6,-7.0,5.15,-56.0,0.67,4.4,0.2,True,9.33,0.378,17,9,0,-3,23,Avoid
NCLIND,NCL INDUSTRIES LIMITED,28405585.0,158540.0,22,13-08-2026,179.17,2.84,False,False,171.7,44.48,184.68,186.58,-11.3,-4.2,4.2,778.0,6.28,4.0,40.0,191.0,3.81,14.5,0.25,True,12.0,0.365,20,21,0,0,41,Watchlist
LANDMARK,Landmark Cars Limited,27779206.0,73600.0,8,10-06-2026,377.43,2.78,False,False,510.8,52.87,481.03,455.64,15.7,35.3,35.3,2114.0,47.4,26.0,26.0,-1.0,2.8,9.59,0.19,True,14.0,0.132,15,19,30,0,64,Buy on Breakout
LAOPALA,LA OPALA RG LIMITED,26086669.0,150000.0,3,08-06-2026,173.91,2.61,False,False,190.6,65.64,184.16,193.41,-6.6,9.6,9.6,2127.0,22.5,-3.0,26.0,-4.0,2.36,14.2,0.01,True,36.0,0.123,20,14,15,0,49,Watchlist
ARSSBL,Anand Rathi Share and Stock Brokers Limited,21801382.0,40000.0,2,16-06-2026,545.03,2.18,False,False,511.95,69.9,534.05,563.1,-12.4,-6.1,6.1,3211.0,21.8,17.0,97.0,53.0,3.73,19.8,0.62,True,40.0,0.068,17,27,0,0,44,Watchlist
GANDHAR,GANDHAR OIL REFINERY (INDIA) LIMITED,19941912.0,125738.0,3,16-06-2026,158.6,1.99,False,False,248.0,64.63,205.98,158.41,58.9,56.4,56.4,2419.0,8.31,36.0,249.0,301.0,18.27,15.4,0.07,True,16.0,0.082,15,35,30,0,80,Strong Buy Setup
MBEL,M & B Engineering Limited,19021945.0,64000.0,6,16-06-2026,297.22,1.9,False,False,285.0,70.45,301.64,333.27,-17.7,-4.1,4.1,1621.0,20.6,13.0,21.0,-4.0,2.56,19.9,0.13,False,8.0,0.117,20,12,0,0,32,Fundamental Watch
SINCLAIR,SINCLAIRS HOTELS LIMITED,17958045.0,239908.0,5,11-06-2026,74.85,1.8,False,False,74.35,62.78,75.72,79.18,-5.4,-0.7,0.7,380.0,35.3,21.0,8.39,-19.0,1.54,8.73,0.28,True,41.64,0.474,20,14,0,0,34,Fundamental Watch
SAHLIBHFI,Shalibhadra Finance Limited,16589392.0,200000.0,2,05-06-2026,82.95,1.66,False,False,72.0,55.35,77.72,,-14.6,-13.2,13.2,225.0,11.4,15.0,,16.0,1.59,14.6,0.33,False,,0.738,17,10,0,0,27,Avoid
DBOL,Dhampur Bio Organics Limited,15157366.0,137268.0,6,06-08-2026,110.42,1.52,False,False,122.0,50.45,110.77,98.74,21.0,10.5,10.5,804.0,33.0,2.0,11.0,618.0,5.78,4.95,1.03,True,2.0,0.189,15,13,30,-2,56,Buy on Breakout
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,14837873.0,508521.0,18,25-06-2026,29.18,1.48,False,False,26.07,69.03,27.94,24.6,14.0,-10.7,10.7,101.0,72.6,-1.0,0.4,26.0,0.59,-0.18,0.0,False,21.51,1.465,25,10,15,-3,47,Watchlist
DOLLAR,DOLLAR INDUSTRIES LIMITED,14833500.0,55000.0,1,24-06-2026,269.7,1.48,False,False,267.6,73.09,264.32,298.22,-19.6,-0.8,0.8,1524.0,13.8,6.0,46.0,18.0,4.31,13.6,0.28,True,12.0,0.097,17,21,5,0,43,Watchlist
BMWVENTLTD,BMW VENTURES LIMITED,14131069.0,235000.0,3,06-08-2026,60.13,1.41,False,False,57.32,73.01,58.33,59.71,-2.3,-4.7,4.7,501.0,12.5,19.0,21.0,20.0,1.22,12.0,0.58,True,3.4,0.281,25,23,0,-2,46,Watchlist
NURECA,NURECA LIMITED,14123718.0,45313.0,7,31-07-2026,311.69,1.41,False,False,340.0,63.24,275.51,274.75,17.3,9.1,9.1,322.0,148.0,22.0,2.45,264.0,2.55,2.07,0.01,False,6.06,0.438,20,15,30,-3,62,Buy on Breakout
CHEMBONDCH,CHEMBOND CHEMICALS LIMITED,14030000.0,61000.0,4,06-08-2026,230.0,1.4,False,False,264.0,67.65,228.71,172.77,66.3,14.8,14.8,706.0,59.0,3.0,2.99,97.0,1.0,11.6,0.0,True,16.21,0.198,20,16,30,0,66,Strong Buy Setup
LYKALABS,Lyka Labs Limited,13897427.0,196253.0,16,29-06-2026,70.81,1.39,False,False,68.03,54.81,68.12,69.26,-6.7,-3.9,3.9,246.0,,0.0,4.59,-215.0,0.58,-4.65,0.56,True,10.85,0.565,20,6,0,0,26,Avoid
VIVIANA,VIVIANA POWER TECH LIMITED,12408320.0,15222.0,3,29-06-2026,815.16,1.24,False,False,695.0,73.2,769.73,,,-14.7,14.7,705.0,12.8,185.0,11.55,204.0,6.84,50.7,0.81,True,16.07,0.176,20,22,0,0,42,Watchlist
SBCL,SHIVALIK BIMETAL CONTROLS LIMITED,12274728.0,18070.0,5,11-06-2026,679.29,1.23,False,False,1024.75,51.09,780.87,563.55,98.6,50.9,50.9,5902.0,67.3,7.0,36.0,14.0,4.58,25.3,0.09,True,28.0,0.021,15,18,30,-3,60,Buy on Breakout
VISAKAIND,Visaka Industries Limited,9980229.0,135049.0,8,18-06-2026,73.9,1.0,False,False,92.42,48.42,82.51,71.03,34.6,25.1,25.1,794.0,11.8,11.0,88.0,439.0,5.79,7.03,0.36,True,15.0,0.126,15,21,30,0,66,Strong Buy Setup
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,9890696.0,18000.0,2,16-06-2026,549.48,0.99,False,False,504.5,56.22,543.76,595.68,-23.4,-8.2,8.2,6209.0,32.3,13.0,59.0,-52.0,3.48,24.3,0.26,True,7.0,0.016,12,18,0,0,30,Fundamental Watch
OMPOWER,Om Power Transmission Limited,7447179.0,40763.0,3,24-06-2026,182.69,0.74,False,False,167.95,69.05,173.7,,-13.1,-8.1,8.1,578.0,13.7,61.0,15.0,82.0,3.07,42.7,0.35,False,12.0,0.128,20,19,0,0,39,Fundamental Watch
MAZDA,MAZDA LIMITED,6747544.0,28000.0,4,18-06-2026,240.98,0.67,False,False,231.01,48.34,231.55,218.95,6.9,-4.1,4.1,459.0,15.3,17.0,7.34,11.0,3.66,15.6,0.0,False,9.14,0.146,15,12,15,0,42,Watchlist
TIGERLOGS,Tiger Logistics (India) Limited,6569275.0,179000.0,10,30-06-2026,36.7,0.66,False,False,26.8,61.81,32.24,33.9,-20.4,-27.0,27.0,285.0,15.0,16.0,2.79,-30.0,0.21,17.6,0.31,False,1.83,0.232,15,12,0,-2,25,Avoid
RSL,RAJPUTANA STAINLESS LIMITED,6545735.0,50000.0,1,16-06-2026,130.91,0.65,False,False,164.51,57.03,136.28,,45.9,25.7,25.7,1378.0,23.4,8.0,29.0,25.0,2.42,25.2,0.19,True,9.0,0.047,12,25,15,0,52,Buy on Breakout
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,6349699.0,560000.0,2,11-08-2026,11.34,0.63,False,False,12.97,69.12,10.53,13.73,-12.3,14.4,14.4,367.0,1182.0,-61.0,,-98.0,0.01,2.46,0.44,True,,0.172,17,9,15,-3,38,Fundamental Watch
WCIL,WESTERN CARRIERS (INDIA) LIMITED,6289883.0,62691.0,5,30-06-2026,100.33,0.63,False,False,87.98,71.89,94.26,106.34,-27.3,-12.3,12.3,893.0,24.3,9.0,18.68,-36.0,0.85,6.79,0.26,False,4.02,0.071,20,8,0,-2,26,Avoid
OBCL,OBCL LIMITED (FORMERLY KNOWN AS ORISSA BENGAL CARRIER LIMITED),6231681.0,115492.0,4,10-08-2026,53.96,0.62,False,False,54.0,67.23,54.73,55.16,-0.1,0.1,0.1,113.0,,6.0,2.47,-3779.0,-0.05,-2.08,0.8,True,3.0,0.549,25,6,5,-2,34,Fundamental Watch
FIBERWEB,Fiberweb (India) Limited,4654451.0,158396.0,12,19-06-2026,29.38,0.47,False,False,26.91,46.33,29.95,35.47,-38.1,-8.4,8.4,,14.8,-38.0,1.73,-70.0,0.09,7.57,0.06,True,17.55,,15,9,0,0,24,Avoid
MACPOWER,MACPOWER CNC MACHINES LIMITED,4356789.0,4733.0,2,04-06-2026,920.51,0.44,False,False,1798.0,73.16,1345.02,1060.64,97.2,95.3,95.3,1782.0,45.8,35.0,15.42,47.0,9.58,29.1,0.01,True,16.19,0.025,17,30,30,0,77,Strong Buy Setup
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,4251250.0,5000.0,1,29-06-2026,850.25,0.43,False,False,934.0,54.23,886.29,912.97,-4.8,9.9,9.9,23746.0,54.8,10.0,317.0,35.0,5.94,11.4,0.52,True,24.0,0.002,12,18,15,0,45,Watchlist
SHYAMCENT,SHYAM CENTURY FERROUS LIMITED,4245478.0,758224.0,3,30-06-2026,5.6,0.42,False,False,4.81,51.7,5.3,5.51,-15.9,-14.1,14.1,104.0,,-92.0,-2.42,44.0,-0.04,-7.4,0.01,False,-733.33,0.404,20,10,0,-2,28,Avoid
NRL,NUPUR RECYCLERS LIMITED,4206920.0,50730.0,3,24-06-2026,82.93,0.42,False,False,116.0,72.53,97.58,66.81,118.7,39.9,39.9,801.0,85.6,15.0,1.43,82.0,0.34,9.71,0.0,True,3.67,0.052,20,16,30,-5,61,Buy on Breakout
ASAHISONG,ASAHI SONGWON COLORS LIMITED,3381000.0,10000.0,1,11-08-2026,338.1,0.34,False,False,357.1,66.73,297.05,255.24,49.8,5.6,5.6,418.0,12.4,-8.0,24.0,33.0,14.36,9.94,0.23,True,18.0,0.081,17,21,25,0,63,Buy on Breakout
SENCO,SENCO GOLD LIMITED,2987130.0,8920.0,1,30-06-2026,334.88,0.3,False,False,342.0,68.48,360.79,331.94,-4.4,2.1,2.1,5602.0,9.47,43.0,223.0,175.0,6.97,21.4,1.03,False,7.0,0.005,17,21,15,0,53,Buy on Breakout
VSTL,VIBHOR STEEL TUBES LIMITED,2722455.0,23096.0,5,12-06-2026,117.88,0.27,False,False,106.8,73.48,113.29,121.76,-10.9,-9.4,9.4,204.0,24.2,21.0,12.07,-29.0,1.02,7.92,0.98,True,4.11,0.132,20,11,0,-2,29,Avoid
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,2567503.0,61500.0,14,17-06-2026,41.75,0.26,False,False,38.6,71.79,40.49,39.58,12.6,-7.5,7.5,384.0,95.0,246.0,0.91,10.0,0.14,2.16,0.0,False,4.21,0.068,20,8,10,-5,33,Fundamental Watch
INDIQUBE,Indiqube Spaces Limited,2543624.0,15500.0,4,24-06-2026,164.1,0.25,False,False,178.0,60.6,171.3,180.0,0.5,8.5,8.5,3780.0,,39.0,258.0,30.0,-1.13,6.38,10.11,True,61.0,0.007,15,23,20,0,58,Buy on Breakout
ALICON,ALICON CASTALLOY LIMITED,2266406.0,3500.0,2,10-06-2026,647.54,0.23,False,False,725.1,55.72,665.85,739.28,-8.9,12.0,12.0,1192.0,27.3,19.0,58.0,31.0,10.76,10.5,0.56,True,10.0,0.019,12,23,15,0,50,Buy on Breakout
