Symbol,Company Name,Regulation,Type of Submission,Broadcast Date/Time,Details URL,Scrip Code,NSE Symbol,MSEI Symbol,Name of Signatory,Designation of Signatory,Sr. No.,Type of Instrument,Category of Person,Name of Person,CIN/DIN,Securities Held Prior (No.),Securities Held Prior (%),Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Transaction Type,Securities Held Post (No.),Securities Held Post (%),Date From,Date To,Mode of Acquisition/Disposal,Date of Intimation,Exchange,Notes
INFY,Infosys Limited,Regulation 7 (2),Original,21-Sep-2026 11:05:58,https://nsearchives.nseindia.com/corporate/ixbrl/IT_180_20260921_110558490_WEB.html,500209,INFY,NOTLISTED,Manikantha A.G.S,,2,Any other instrument,Designated Person,Semra Barutchu,,3362,0.00%,1435,"1,488,785.00",Buy,4797,0.00%,17-09-2026,17-09-2026,ESOP,17-09-2026,,
INFY,Infosys Limited,Regulation 7 (2),Original,21-Sep-2026 11:05:58,https://nsearchives.nseindia.com/corporate/ixbrl/IT_180_20260921_110558490_WEB.html,500209,INFY,NOTLISTED,Manikantha A.G.S,,3,Any other instrument,Designated Person,Srikanth Srinivasan,,6715,0.00%,3999,"4,148,887.00",Buy,10714,0.00%,17-09-2026,17-09-2026,ESOP,17-09-2026,,
SHAH,SHAH METACORP LIMITED,Regulation 7 (2),Original,19-Sep-2026 23:34:19,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3662_20260919_233419541_WEB.html,533275,SHAH,NOTLISTED,HIRAL PATEL,,1,Equity,Promoter and Director,MONA VIRAL SHAH,02343194,175748448,17.23%,6500000,"30,615,000.00",Buy,182248448,17.76%,16-09-2026,16-09-2026,Conversion of security,18-09-2026,,
WSI,W S Industries (I) Limited,Regulation 7 (2),Original,19-Sep-2026 16:04:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_587_20260919_160426899_WEB.html,504220,WSI,NOTLISTED,T R Sivaraman,,1,Equity,Promoter,S. Aravindan,,4716491,6.21%,14723,"808,293.00",Buy,4731214,6.23%,16-09-2026,16-09-2026,Market Purchase,18-09-2026,,
WSI,W S Industries (I) Limited,Regulation 7 (2),Original,19-Sep-2026 16:04:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_587_20260919_160426899_WEB.html,504220,WSI,NOTLISTED,T R Sivaraman,,2,Equity,Promoter,S. Aravindan,,4731214,6.23%,618,"34,657.00",Buy,4731832,6.23%,17-09-2026,17-09-2026,Market Purchase,18-09-2026,,
WCIL,WESTERN CARRIERS (INDIA) LIMITED,Regulation 7 (2),Original,19-Sep-2026 14:05:00,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22116_20260919_140500583_WEB.html,544258,WCIL,NOTLISTED,SAPNA KOCHAR,,1,Equity,Promoter and Director,RAJENDRA SETHIA,00267974,74253711,72.83%,100000,"9,750,000.00",Buy,74353711,72.93%,18-09-2026,18-09-2026,Market Purchase,19-09-2026,,
BIL,BHARTIYA INTERNATIONAL LIMITED,Regulation 7 (2),Original,19-Sep-2026 10:33:47,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1877_20260919_103347124_WEB.html,526666,BIL,NOTLISTED,YOGESH KUMAR GAUTAM,,1,Equity,Employee,CHANDAN RASTOGI,,834,0.01%,720,"730,286.00",Buy,1554,0.01%,15-09-2026,16-09-2026,Market Purchase,17-09-2026,,
BIL,BHARTIYA INTERNATIONAL LIMITED,Regulation 7 (2),Original,19-Sep-2026 10:33:47,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1877_20260919_103347124_WEB.html,526666,BIL,NOTLISTED,YOGESH KUMAR GAUTAM,,2,Equity,Designated Person,Neeraj Vinayak HUF,,1278,0.01%,2500,"2,569,354.00",Buy,3778,0.03%,17-09-2026,17-09-2026,Market Purchase,18-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,1,Equity,Designated Person,Sumithra Ranganathan,,2420,0.00%,514,"641,883.00",Buy,2934,0.00%,09-09-2026,09-09-2026,ESOS,17-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,2,Equity,Designated Person,Sumithra Ranganathan,,2934,0.00%,4854,"6,077,208.00",Buy,7788,0.00%,15-09-2026,15-09-2026,ESOS,17-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,3,Equity,Designated Person,Baskaran Subramaniam,,36280,0.00%,3000,"3,756,000.00",Buy,39280,0.00%,15-09-2026,15-09-2026,ESOS,17-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,4,Equity,Designated Person,Srinivasan Aravamudhan,,2238,0.00%,1700,"2,128,400.00",Buy,3938,0.00%,15-09-2026,15-09-2026,ESOS,17-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,5,Equity,Designated Person,Vikas Sharma,,6723,0.00%,984,"1,231,968.00",Buy,7707,0.00%,15-09-2026,15-09-2026,ESOS,17-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,6,Equity,Designated Person,Meshach Samuel Pradeepraj Moses,,0,0.00%,6960,"8,713,920.00",Buy,6960,0.00%,15-09-2026,15-09-2026,ESOS,16-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,7,Equity,Designated Person,Santosh Vithal Rao Mokashi,,19974,0.00%,13739,"17,345,488.00",Buy,33713,0.00%,16-09-2026,16-09-2026,ESOS,18-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,8,Equity,Designated Person,Ashish Kumar Gupta,,109593,0.00%,7109,"8,975,113.00",Buy,116702,0.00%,16-09-2026,16-09-2026,ESOS,18-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,9,Equity,Designated Person,Sriram Hariharan,,10056,0.00%,9750,"12,309,375.00",Buy,19806,0.00%,16-09-2026,16-09-2026,ESOS,18-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,10,Equity,Designated Person,Ramachandran Sundararajan,,11617,0.00%,24701,"31,185,013.00",Buy,36318,0.00%,16-09-2026,16-09-2026,ESOS,17-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,11,Equity,Designated Person,HCL Technologies Stock Options Trust,,7568764,0.28%,26733,"33,469,716.00",Sell,7542031,0.28%,15-09-2026,15-09-2026,ESOS,17-09-2026,,
HCLTECH,HCL Technologies Limited,Regulation 7 (2),Original,18-Sep-2026 19:41:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260918_194131015_WEB.html,532281,HCLTECH,NOTLISED,Manish Anand,,12,Equity,Designated Person,HCL Technologies Stock Options Trust,,7542031,0.28%,62483,"78,884,788.00",Sell,7479548,0.28%,16-09-2026,16-09-2026,ESOS,18-09-2026,,
SARLAPOLY,SARLA PERFORMANCE FIBERS LIMITED,Regulation 7 (2),Original,18-Sep-2026 18:48:44,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2507_20260918_184844496_WEB.html,526885,SARLAPOLY,NOTLISTED,Mustafa Manasawala,,1,Equity,Directors Immediate Relative,SMITA SACHIN ABHYANKAR,,10000,0.01%,5340,"541,852.00",Sell,4660,0.01%,16-09-2026,16-09-2026,Market Sale,17-09-2026,,
