Symbol,Company Name,Name of Person,Category of Person,TransactionDate,Transaction,Quantity,Value,Price,Securities Held Prior (No.),Securities Held Prior (%),Securities Held Post (No.),Securities Held Post (%),Date From,Date To,Mode of Acquisition/Disposal,Broadcast Date/Time,Details URL
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-31,BUY,137858.0,2404057.0,17.438647013593698,200000,0.10%,337858,0.17%,31-08-2026,31-08-2026,Market Purchase,01-Sep-2026 09:40:10,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2757_20260901_094010637_WEB.html
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-09-01,BUY,150000.0,2624105.0,17.494033333333334,337858,0.17%,487858,0.25%,01-09-2026,01-09-2026,Market Purchase,02-Sep-2026 10:24:38,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2757_20260902_102438386_WEB.html
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-09-02,BUY,100000.0,1736212.0,17.36212,487858,0.25%,587858,0.30%,02-09-2026,02-09-2026,Market Purchase,03-Sep-2026 16:25:17,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2757_20260903_162516987_WEB.html
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-09-04,BUY,110000.0,1975906.0,17.962781818181817,587858,0.30%,697858,0.36%,04-09-2026,04-09-2026,Market Purchase,07-Sep-2026 11:49:39,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2757_20260907_114939170_WEB.html
APLLTD,Alembic Pharmaceuticals Limited,Nirayu Private Limited,Promoter Group,2026-06-11,BUY,75000.0,55951874.0,746.0249866666667,70228700,35.73%,70303700,35.77%,11-06-2026,11-06-2026,Market Purchase,12-Jun-2026 18:37:16,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_183716903_WEB.html
APLLTD,Alembic Pharmaceuticals Limited,Nirayu Private Limited,Promoter Group,2026-06-17,BUY,24832.0,18533069.0,746.3381523840206,70303700,35.77%,70328532,35.78%,16-06-2026,17-06-2026,Market Purchase,18-Jun-2026 12:16:40,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5232_20260618_121640491_WEB.html
APLLTD,Alembic Pharmaceuticals Limited,Nirayu Private Limited,Promoter Group,2026-06-18,BUY,3278.0,2437173.0,743.493898718731,70328532,35.78%,70331810,35.78%,18-06-2026,18-06-2026,Market Purchase,19-Jun-2026 19:09:52,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5232_20260619_190952608_WEB.html
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Asha Biyani,Promoter Group,2026-06-16,BUY,20000.0,10900691.0,545.03455,0,0.00%,20000,0.03%,16-06-2026,16-06-2026,Market Purchase,18-Jun-2026 15:11:13,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25015_20260618_151113771_WEB.html
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Asha Biyani,Promoter Group,2026-06-16,BUY,20000.0,10900691.0,545.03455,0,0.00%,20000,0.03%,16-06-2026,16-06-2026,Market Purchase,18-Jun-2026 15:06:24,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25015_20260618_150624573_WEB.html
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,Malathi Raghunand,Promoter Group,2026-06-17,OTHER,64000.0,56601600.0,884.4,306423,0.12%,370423,0.15%,17-06-2026,17-06-2026,Inheritance,01-Jul-2026 16:58:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1672_20260701_165835158_WEB.html
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,M N Chaitanya,Promoter Group,2026-06-22,OTHER,16000.0,13803200.0,862.7,50800,0.02%,66800,0.03%,22-06-2026,22-06-2026,Inheritance,01-Jul-2026 16:58:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1672_20260701_165835158_WEB.html
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,Malathi Raghunand,Promoter Group,2026-06-22,OTHER,48000.0,41409600.0,862.7,370423,0.15%,322423,0.13%,22-06-2026,22-06-2026,Inheritance,01-Jul-2026 16:58:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1672_20260701_165835158_WEB.html
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,Manjula Milind Pishawikar,Promoter Group,2026-06-22,OTHER,16000.0,13803200.0,862.7,60000,0.02%,76000,0.03%,22-06-2026,22-06-2026,Inheritance,01-Jul-2026 16:58:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1672_20260701_165835158_WEB.html
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,Padma N Rao,Promoter Group,2026-06-22,OTHER,16000.0,13803200.0,862.7,25600,0.01%,41600,0.02%,22-06-2026,22-06-2026,Inheritance,01-Jul-2026 16:58:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1672_20260701_165835158_WEB.html
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,LANS Business LLP,Promoter Group,2026-06-29,BUY,5000.0,4251250.0,850.25,60000,0.02%,65000,0.03%,29-06-2026,29-06-2026,Market Purchase,01-Jul-2026 16:58:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1672_20260701_165835158_WEB.html
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,Sangeeta Kaul,Promoter Group,2026-08-13,OTHER,75000.0,67485000.0,899.8,0,0.00%,75000,0.03%,13-08-2026,13-08-2026,Inheritance,08-Sep-2026 18:13:27,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1672_20260908_181327827_WEB.html
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,Shalinee Gurtu,Promoter Group,2026-08-13,OTHER,75000.0,67485000.0,899.8,0,0.00%,75000,0.03%,13-08-2026,13-08-2026,Inheritance,08-Sep-2026 18:13:27,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1672_20260908_181327827_WEB.html
ASAHISONG,ASAHI SONGWON COLORS LIMITED,Arjun Gokul Jaykrishna,Promoter and Director,2026-08-11,BUY,10000.0,3381000.0,338.1,39950,0.34%,49950,0.42%,11-08-2026,11-08-2026,Market Purchase,12-Aug-2026 16:35:54,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5165_20260812_163554411_WEB.html
ASHAPURMIN,ASHAPURA MINECHEM LIMITED,CHETAN NAVNITLAL SHAH,Promoter,2026-08-26,BUY,25000.0,14607763.0,584.31052,6627767,6.94%,6652767,6.96%,26-08-2026,26-08-2026,Market Purchase,27-Aug-2026 17:02:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1262_20260827_170255350_WEB.html
ASHAPURMIN,ASHAPURA MINECHEM LIMITED,CHETAN NAVNITLAL SHAH,Promoter,2026-08-27,BUY,25000.0,14592790.0,583.7116,6652767,6.96%,6677767,6.99%,27-08-2026,27-08-2026,Market Purchase,31-Aug-2026 16:10:02,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1262_20260831_161002703_WEB.html
ASHAPURMIN,ASHAPURA MINECHEM LIMITED,Dina Chetan Shah,Promoter,2026-09-01,OTHER,6696379.0,0.0,0.0,9202360,9.63%,2505981,2.62%,01-09-2026,01-09-2026,Off Market,03-Sep-2026 16:29:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1262_20260903_162949960_WEB.html
ASHAPURMIN,ASHAPURA MINECHEM LIMITED,Himani Ankur Shah Family Trust,Promoter Group,2026-09-01,OTHER,6696379.0,0.0,0.0,0,0.00%,6696379,7.01%,01-09-2026,01-09-2026,Off Market,03-Sep-2026 16:29:54,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1262_20260903_162954302_WEB.html
ASTERDM,Aster DM Quality Care Limited,Union (Mauritius) Holdings Limited,Promoter Group,2026-08-31,BUY,91174.0,68577326.0,752.1587952705815,19980522,2.29%,20071696,2.30%,31-08-2026,31-08-2026,Market Purchase,02-Sep-2026 20:28:54,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15805_20260902_202854340_WEB.html
ASTERDM,Aster DM Quality Care Limited,Union (Mauritius) Holdings Limited,Promoter Group,2026-09-01,BUY,295823.0,223758239.0,756.392298773253,20071696,2.30%,20367519,2.34%,01-09-2026,01-09-2026,Market Purchase,02-Sep-2026 20:28:54,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15805_20260902_202854340_WEB.html
ASTERDM,Aster DM Quality Care Limited,Union (Mauritius) Holdings Limited,Promoter Group,2026-09-02,BUY,4609800.0,3503448000.0,760.0,20367519,2.34%,24977319,2.87%,02-09-2026,02-09-2026,Market Purchase,02-Sep-2026 20:28:54,https://nsearchives.nseindia.com/corporate/ixbrl/IT_15805_20260902_202854340_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,2026-06-15,BUY,25000.0,4813908.0,192.55632,36628355,47.78%,36653355,47.81%,15-06-2026,15-06-2026,Market Purchase,16-Jun-2026 10:44:15,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260616_104415700_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,2026-06-18,BUY,20000.0,4005342.0,200.2671,36653355,47.81%,36673355,47.84%,18-06-2026,18-06-2026,Market Purchase,19-Jun-2026 10:41:17,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260619_104117399_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,2026-06-19,BUY,25000.0,5097745.0,203.9098,36673355,47.84%,36698355,47.87%,19-06-2026,19-06-2026,Market Purchase,22-Jun-2026 10:58:04,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260622_105804505_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,2026-06-22,BUY,30000.0,6235185.0,207.8395,36698355,47.87%,36728355,47.91%,22-06-2026,22-06-2026,Market Purchase,23-Jun-2026 10:47:42,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260623_104742804_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,2026-06-24,BUY,10000.0,2114070.0,211.407,36728355,47.91%,36738355,47.92%,24-06-2026,24-06-2026,Market Purchase,25-Jun-2026 10:42:32,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260625_104232056_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,2026-06-29,BUY,10000.0,2182369.0,218.2369,36738355,47.92%,36748355,47.94%,29-06-2026,29-06-2026,Market Purchase,30-Jun-2026 10:49:30,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260630_104930235_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-10,BUY,300000.0,3386121.0,11.28707,93504900,33.13%,93804900,33.24%,10-08-2026,10-08-2026,Market Purchase,11-Aug-2026 10:39:48,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260811_103948643_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-11,BUY,260000.0,2963578.0,11.398376923076922,93804900,33.24%,94064900,33.33%,11-08-2026,11-08-2026,Market Purchase,12-Aug-2026 10:11:30,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260812_101130527_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-12,BUY,50000.0,570345.0,11.4069,94064900,33.33%,94114900,33.35%,12-08-2026,12-08-2026,Market Purchase,18-Aug-2026 13:11:16,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260818_131116559_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-12,BUY,50000.0,570345.0,11.4069,94064900,33.33%,94114900,33.35%,12-08-2026,12-08-2026,Market Purchase,18-Aug-2026 13:08:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260818_130835104_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-18,BUY,100000.0,1333405.0,13.33405,94114900,33.35%,94214900,33.38%,18-08-2026,18-08-2026,Market Purchase,19-Aug-2026 10:36:06,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260819_103606504_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-19,BUY,60831.0,809518.0,13.30765563610659,94214900,33.38%,94275731,33.40%,19-08-2026,19-08-2026,Market Purchase,20-Aug-2026 10:41:16,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260820_104116797_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-20,BUY,55000.0,740000.0,13.454545454545455,94275731,33.40%,94330731,33.42%,20-08-2026,20-08-2026,Market Purchase,21-Aug-2026 10:19:17,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260821_101917612_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-21,BUY,64000.0,851693.0,13.307703125,94330731,33.42%,94394731,33.45%,21-08-2026,21-08-2026,Market Purchase,24-Aug-2026 10:19:04,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260824_101904756_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-24,BUY,65347.0,886448.0,13.56524400508057,94394731,33.45%,94460078,33.47%,24-08-2026,24-08-2026,Market Purchase,25-Aug-2026 11:57:24,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260825_115724415_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-25,BUY,35000.0,470500.0,13.442857142857143,94460078,33.47%,94495078,33.48%,25-08-2026,25-08-2026,Market Purchase,26-Aug-2026 10:35:22,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260826_103522339_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-26,BUY,89000.0,1240525.0,13.938483146067416,94495078,33.48%,94584078,33.51%,26-08-2026,26-08-2026,Market Purchase,27-Aug-2026 11:19:19,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260827_111919080_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-27,BUY,20707.0,285045.0,13.765634809484716,94584078,33.51%,94604785,33.52%,27-08-2026,27-08-2026,Market Purchase,28-Aug-2026 11:16:34,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260828_111634274_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-28,BUY,20000.0,278200.0,13.91,94604785,33.52%,94624785,33.53%,28-08-2026,28-08-2026,Market Purchase,31-Aug-2026 12:42:46,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260831_124246541_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-08-31,BUY,60000.0,816560.0,13.609333333333334,94624785,33.53%,94684785,33.55%,31-08-2026,31-08-2026,Market Purchase,01-Sep-2026 10:04:36,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260901_100436129_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-09-01,BUY,10000.0,133250.0,13.325,94684785,33.55%,94694785,33.55%,01-09-2026,01-09-2026,Market Purchase,02-Sep-2026 10:59:14,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260902_105914420_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-09-03,BUY,55000.0,719000.0,13.072727272727272,94694785,33.55%,94749785,33.57%,03-09-2026,03-09-2026,Market Purchase,04-Sep-2026 10:35:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260904_103526497_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-09-04,BUY,68997.0,904554.0,13.110048262967956,94749785,33.57%,94818782,33.60%,04-09-2026,04-09-2026,Market Purchase,07-Sep-2026 11:53:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260907_115331140_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-09-07,BUY,39340.0,549000.0,13.955261820030504,94818782,33.60%,94858122,33.61%,07-09-2026,07-09-2026,Market Purchase,08-Sep-2026 10:43:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260908_104350402_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-09-08,BUY,53351.0,752337.0,14.101647579239376,94858122,33.61%,94911473,33.63%,08-09-2026,08-09-2026,Market Purchase,09-Sep-2026 10:44:34,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260909_104434364_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-09-09,BUY,36892.0,515927.0,13.984793451154722,94911473,33.63%,94948365,33.64%,09-09-2026,09-09-2026,Market Purchase,10-Sep-2026 11:37:38,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260910_113738458_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,2026-09-10,BUY,66659.0,950634.0,14.26115003225371,94948365,33.64%,95015024,33.67%,10-09-2026,10-09-2026,Market Purchase,11-Sep-2026 10:14:24,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260911_101424673_WEB.html
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,ANIL CHAMPALAL JAIN,Promoter Group,2026-06-12,BUY,100000.0,29730147.0,297.30147,1936544,5.75%,2036544,6.05%,12-06-2026,12-06-2026,Market Purchase,15-Jun-2026 13:28:31,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19739_20260615_132831852_WEB.html
BERGEPAINT,BERGER PAINTS (I) LIMITED,Mr Kanwardip Singh Dhingra,Promoter,2026-09-07,BUY,19788.0,9599954.0,485.14018597129575,840000,0.07%,859788,0.07%,07-09-2026,07-09-2026,Market Purchase,08-Sep-2026 12:49:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_488_20260908_124955255_WEB.html
BERGEPAINT,BERGER PAINTS (I) LIMITED,Ms Anshana Sawhney,Promoter,2026-09-07,BUY,14841.0,7197659.0,484.9847719156391,720000,0.06%,734841,0.06%,07-09-2026,07-09-2026,Market Purchase,08-Sep-2026 12:49:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_488_20260908_124955255_WEB.html
BERGEPAINT,BERGER PAINTS (I) LIMITED,Ms Jessima Kumar,Promoter,2026-09-07,BUY,24734.0,12030894.0,486.4111749009461,720000,0.06%,744734,0.06%,07-09-2026,07-09-2026,Market Purchase,08-Sep-2026 12:49:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_488_20260908_124955255_WEB.html
BERGEPAINT,BERGER PAINTS (I) LIMITED,Ms Sunaina Kohli,Promoter,2026-09-07,BUY,14840.0,7193875.0,484.76246630727763,720000,0.06%,734840,0.06%,07-09-2026,07-09-2026,Market Purchase,08-Sep-2026 12:49:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_488_20260908_124955255_WEB.html
BERGEPAINT,BERGER PAINTS (I) LIMITED,MsRishma Kaur,Promoter,2026-09-07,BUY,24735.0,12413936.0,501.8773398019001,720000,0.06%,744735,0.06%,07-09-2026,07-09-2026,Market Purchase,08-Sep-2026 12:49:55,https://nsearchives.nseindia.com/corporate/ixbrl/IT_488_20260908_124955255_WEB.html
BHAGERIA,Bhageria Industries Limited,Aditya Bhageria,Promoter Group,2026-08-20,BUY,6122.0,1252826.0,204.64325383861484,157987,0.36%,164109,0.38%,20-08-2026,20-08-2026,Market Purchase,21-Aug-2026 11:47:39,https://nsearchives.nseindia.com/corporate/ixbrl/IT_13498_20260821_114739171_WEB.html
BHAGERIA,Bhageria Industries Limited,Aditya Bhageria,Promoter Group,2026-08-20,BUY,6122.0,1252826.0,204.64325383861484,157987,0.36%,164109,0.38%,20-08-2026,20-08-2026,Market Purchase,21-Aug-2026 11:57:35,https://nsearchives.nseindia.com/corporate/ixbrl/IT_13498_20260821_115735521_WEB.html
BHAGERIA,Bhageria Industries Limited,Aditya Bhageria,Promoter Group,2026-08-21,BUY,5000.0,1035000.0,207.0,164109,0.36%,169109,0.39%,21-08-2026,21-08-2026,Market Purchase,21-Aug-2026 17:19:08,https://nsearchives.nseindia.com/corporate/ixbrl/IT_13498_20260821_171908530_WEB.html
BHAGERIA,Bhageria Industries Limited,Aditya Bhageria,Promoter Group,2026-08-24,BUY,5000.0,1108600.0,221.72,169109,0.39%,174109,0.40%,24-08-2026,24-08-2026,Market Purchase,24-Aug-2026 14:59:24,https://nsearchives.nseindia.com/corporate/ixbrl/IT_13498_20260824_145924397_WEB.html
BHAGERIA,Bhageria Industries Limited,Aditya Bhageria,Promoter Group,2026-08-25,BUY,11652.0,2601998.0,223.30913147957432,174109,0.40%,185761,0.42%,25-08-2026,25-08-2026,Market Purchase,25-Aug-2026 16:55:12,https://nsearchives.nseindia.com/corporate/ixbrl/IT_13498_20260825_165512735_WEB.html
BHAGERIA,Bhageria Industries Limited,Aditya Bhageria,Promoter Group,2026-08-26,BUY,10000.0,2228700.0,222.87,185761,0.42%,195761,0.45%,26-08-2026,26-08-2026,Market Purchase,26-Aug-2026 15:35:44,https://nsearchives.nseindia.com/corporate/ixbrl/IT_13498_20260826_153544422_WEB.html
BLBLIMITED,BLB LIMITED,Brij Rattan Bagri,Promoter and Director,2026-08-25,BUY,244352.0,3914519.0,16.01999983630173,24195548,45.77%,24439900,46.23%,25-08-2026,25-08-2026,Market Purchase,26-Aug-2026 15:25:36,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1893_20260826_152536610_WEB.html
BLBLIMITED,BLB LIMITED,Brij Rattan Bagri,Promoter and Director,2026-08-27,BUY,24242.0,388842.0,16.040013200231005,24439900,46.23%,24464142,46.28%,27-08-2026,27-08-2026,Market Purchase,28-Aug-2026 12:53:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1893_20260828_125350565_WEB.html
